Member,TotalValue60s_heritage,TotalValue70s_heritage,TotalValue80s_heritage,TotalValue90s_heritage,TotalValue60s_ebay,TotalValue70s_ebay,TotalValue80s_ebay,TotalValue90s_ebay,TotalValue60s_wiz,TotalValue70s_wiz,TotalValue80s_wiz,TotalValue90s_wiz,TotalValue60s_oStreet,TotalValue70s_oStreet,TotalValue80s_oStreet,TotalValue90s_oStreet
warrenWorthington,929056,154585,23957,960,23335,3362,583,97,"$7,913.00 ","$1,105.00 ",$226.00 ,$65.75 ,"$68,160.00 ","$7,360.00 ",$975.00 ,$123.00 
hankMcCoy,929776,20705,6631,881,23377,1224,289,82,"$7,953.00 ",$851.00 ,$89.00 ,$38.50 ,"$68,390.00 ","$5,260.00 ",$431.00 ,$81.00 
scottSummers,933616,188635,29240,739,23420,5431,1031,82,"$7,993.00 ","$1,979.00 ",$438.00 ,$39.25 ,"$68,590.00 ","$11,675.00 ","$1,427.00 ",$74.00 
bobbyDrake,929776,154585,1514,874,23377,3362,70,93,"$7,953.00 ","$1,105.00 ",$48.00 ,$62.00 ,"$68,390.00 ","$7,360.00 ",$137.00 ,$108.00 
jeanGrey,933616,179899,16868,1708,23420,4903,665,170,"$7,993.00 ","$1,679.00 ",$165.00 ,$108.00 ,"$68,590.00 ","$10,265.00 ",$822.00 ,$189.00 
alexSummers,34519,144946,9352,197,745,2703,581,21,$342.00 ,$597.00 ,$253.00 ,$19.00 ,"$1,850.00 ","$3,865.00 ",$502.00 ,$24.00 
lornaDane,76279,144946,6602,731,1212,2703,405,41,$374.00 ,$597.00 ,$116.00 ,$43.00 ,"$2,000.00 ","$3,865.00 ",$293.00 ,$44.00 
ororoMunroe,,171050,54205,2183,,4349,1730,334,,"$1,224.00 ",$931.00 ,$158.00 ,,"$6,890.00 ","$2,391.00 ",$273.00 
kurtWagner,,171050,50666,,,4349,1345,,,"$1,224.00 ",$736.00 ,,,"$6,890.00 ","$2,044.00 ",
loganHowlett,,171050,52524,1079,,4349,1669,100,,"$1,224.00 ",$908.00 ,$111.00 ,,"$6,890.00 ","$2,310.00 ",$119.00 
peterRasputin,,171050,52575,1036,,4349,1604,90,,"$1,224.00 ",$875.00 ,$72.00 ,,"$6,890.00 ","$2,284.00 ",$130.00 
seanCassidy,39200,171962,7331,1562,910,4443,317,142,$347.00 ,"$1,304.00 ",$74.00 ,$119.00 ,"$2,140.00 ","$7,430.00 ",$236.00 ,$152.00 
shiroYoshida,,141872,143,73,,2584,1,11,,$466.00 ,$5.00 ,$8.00 ,,"$3,085.00 ",$9.00 ,$12.00 
johnProudstar,,138380,,,,2375,,,,$410.00 ,,,,"$2,925.00 ",,
kittyPryde,,,40655,,,,963,,,,$627.00 ,,,,"$1,458.00 ",
annaMarieLeBeau,,,10730,458,,,598,26,,,$498.00 ,$35.00 ,,,$832.00 ,$51.00 
rachelSummers,,,16187,456,,,244,50,,,$184.00 ,$8.00 ,,,$401.00 ,$30.00 
ericMagnus,582934,3479,16696,219,15957,231,207,15,"$4,180.00 ",$140.00 ,$209.00 ,$22.00 ,"$45,580.00 ",$870.00 ,$345.00 ,$22.00 
alisonBlaire,,,7198,70,,,552,6,,,$286.00 ,$11.00 ,,,$567.00 ,$14.00 
longshot,,,2893,,,,344,,,,$199.00 ,,,,$307.00 ,
jonathanSilvercloud,,,1670,2040,,,45,198,,,$56.00 ,$146.00 ,,,$91.00 ,$210.00 
remyLeBeau,,,,1519,,,,255,,,,$109.00 ,,,,$188.00 
jubilationLee,,,442,1150,,,116,101,,,$47.00 ,$112.00 ,,,$86.00 ,$126.00 
lucasBishop,,,,729,,,,65,,,,$36.00 ,,,,$80.00 
betsyBraddock,,,5573,1030,,,490,95,,,$316.00 ,$106.00 ,,,$468.00 ,$109.00 
charlesXavier,819537,166297,42197,1068,21224,4415,1121,83,"$7,000.00 ","$1,453.00 ",$511.00 ,$66.00 ,"$63,095.00 ","$9,145.00 ","$1,673.00 ",$125.00 
